NOM|ARRONDISSEMENT|NO_CIVIQUE|RUE|ANC_VILLE|VOCATION
Chalet Lavigueur|1|51|Pointe-aux-Lièvres, Rue de la |Québec|Pavillon de services et de loisirs
Pavillon Parc Roger-Lemelin|1|548|Montmagny, Rue |Québec|Pavillon de services et de loisirs
Pavillon Parc des Saints-Martyrs|1|950|Calixa-Lavallée, Avenue |Québec|Pavillon de services et de loisirs
Marina Saint-Roch|1||Embarcations, Rue des |Québec|Pavillon de services et de loisirs
Pavillon Parc Dollard-des-Ormeaux|1|320|Verdun, Rue de |Québec|Pavillon de services et de loisirs
Pavillon piscine Parc Marchand|1|2740|2e, Avenue |Québec|Pavillon de services et de loisirs
Pavillon Parc Notre-Dame-de-la-Garde|1|488|Champlain, Boulevard |Québec|Pavillon de services et de loisirs
Pavillon Parc Sainte-Monique|2|3725|Chevalier, Rue |Québec|Pavillon de services et de loisirs
Pavillon piscines Parc de Saint-Sacrement|1|1360|Entente, Boulevard de l' |Québec|Pavillon de services et de loisirs
Pavillon Parc Saint-Viateur|4|705|Saint-Viateur, Rue |Charlesbourg|Pavillon de services et de loisirs
Centre communautaire Duberger/Caserne #5 Duberger|2|2345|Rivière-du-Berger, Rue de la |Québec|Centre communautaire
Pavillon Parc-école Dominique-Savio|1|1990|Trinité, Rue de la |Québec|Pavillon de services et de loisirs
Pavillon Parc-école Saint-Paul-Apôtre|1|2582|8e, Avenue |Québec|Pavillon de services et de loisirs
Pavillon Parc de l'Esplanade|1|60|D'Auteuil, Rue |Québec|Pavillon de services et de loisirs
Pavillon René-Lafond|6|6106|Accueil, Rue de l' |Saint-Émile|Pavillon de services et de loisirs
Toilette piscine Parc du Musée|1|255|Grande Allée Ouest|Québec|Bâtiment accessoire
Maison des jeunes L'Adoasis|2|4040|Michelet, Rue |Québec|Centre communautaire
Pavillon du Parc de L'Anse-à-Cartier|1|45|Jacques-Cartier, Rue |Québec|Pavillon de services et de loisirs
Centre communautaire Champigny|3|7519|Wilfrid-Hamel, Boulevard |Sainte-Foy|Centre communautaire
Pavillon du Jardin de Saint-Roch|1|495|Couronne, Rue de la |Québec|Pavillon de services et de loisirs
Pavillon piscines Parc Bardy|1|2350|Bardy, Avenue |Québec|Pavillon de services et de loisirs
Bloc sanitaire Parc de la Terrasse Bon-Air|4|1085|60e Est, Rue |Charlesbourg|Pavillon de services et de loisirs
Bâtiment de service Parc de la Grande-Oasis|6|1920|Tricornes, Rue des |Saint-Émile|Pavillon de services et de loisirs
Pavillon Claude-Bégin|6|560|Pacifique, Rue |Lac-Saint-Charles|Pavillon de services et de loisirs
Pavillon Louis-Germain-Castonguay|6|10855|Lauriers, Rue des |Québec|Pavillon de services et de loisirs
Pavillon d'accueil Base Plein-air Ste-Foy(PROJETÉ)|3||Laberge, Rue |Sainte-Foy|Pavillon de services et de loisirs
